country,description,points,price,province,region_1,taster_name,year,variety_100,designation_20,winery_3
France,"Softly scented with tart apple and fresh citrus, this unfolds into an array of shimmering, tart, fresh but full-fruited apple notes. The palate is dry and juicy with freshness, the body is slender but concentrated. There are hints of saltiness and stone. This is a little powerhouse of flavor and drive with supreme purity. Drink 2016–2026.",94,40.0,Alsace,Alsace,Anne Krebiehl MW,2013,7.0,Pfersigberg Grand Cru,Martin Schaetzel
France,"The perfume of honeysuckle is followed by peachy, plum fruitiness. The palate presents a medium sweet richness that glows with peach jam and floral overtones, there is a warm finish and echoes of ripe peach.",88,40.0,Alsace,Alsace,Anne Krebiehl MW,2012,23.0,Pfersigberg Grand Cru,Martin Schaetzel
France,"There is a touch of gold to the color of this fine, full-bodied wine that shows a light touch of sweetness. Rich lemon and honey flavors are cut with grapefruit acidity to give a taut, wonderfully crisp wine. Age for another 3–4 years.",92,48.0,Alsace,Alsace,Roger Voss,2010,7.0,Pfersigberg Grand Cru,Emile Beyer
France,"Baked stone-fruits like yellow plum and apricot mix with fresh apple on the nose. The palate holds the same, stone-fruited but dry generosity. This is concentrated and linear, brightened by lovely, ripe lemon freshness. Very inviting and appetizing. Ready now.",91,62.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Pfersigberg Grand Cru,Emile Beyer
France,"Warming aromatic notes of fresh and dried peach reach the nose. The palate revels in the peachy sweetness, adding a lovely, pleasantly bitter phenolic edge. The flavors are concentrated and have both a welcome tangy zesty edge and some honeyed spice. There is quite a bit of palpable warmth. This is full on and exploding with peachy fruit. The medium-sweet finish is long and warming. Drink 2017–2027.",94,50.0,Alsace,Alsace,Anne Krebiehl MW,2015,23.0,Pfersigberg Grand Cru,Emile Beyer
France,"Caramel aromas lead to a wine that is soft, ripe and rich. It has sweetness, a generous texture and ripe spicy fruits. Tantalizing hints of honey go with the smooth yellow fruits and opulent character. It's still young for a wine of this stature, so drink from 2017.",92,59.0,Alsace,Alsace,Roger Voss,2013,23.0,Pfersigberg Grand Cru,Emile Beyer
France,"Lifted chamomile joins riper pear and apple fruit on the nose of this wine. On the concentrated palate these are joined by lemon and grapefruit zest in an unapologetically bracing style. This wine is clean, dry, fresh and totally lip-smacking with the full force of citrus behind it.",90,22.0,Alsace,Alsace,Anne Krebiehl MW,2015,7.0,Tradition,Emile Beyer
France,"Softly ripe notes of pear mingle with earthier elements on nose and palate of this dryish Riesling. The spine of acidity provides structure and fills the palate with lemony, bright freshness that lingers pleasantly.",87,25.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Tradition,Emile Beyer
France,"Only very subdued notes of citrus emerge and add a little polish to a rounded, balanced and dry palate. However, a lovely, bundled ray of tangerine zestiness at the core brightens the wine immensely.",88,25.0,Alsace,Alsace,Anne Krebiehl MW,2014,18.0,Tradition,Emile Beyer
France,"Superripe pear notes on the nose lead to a more slender, defined palate of green Conference pear flavors and lovely midpalate texture. This wine has freshness and a juicy, appetizing honesty, with an intriguing bitter-almond finish that is totally moreish.",90,22.0,Alsace,Alsace,Anne Krebiehl MW,2015,18.0,Tradition,Emile Beyer
France,"This soft wine is full of yellow fruits and spiced lemon, with a light, tangy texture. It's rich while having a crisper side. Drink in fall 2016.",85,25.0,Alsace,Alsace,Roger Voss,2013,18.0,Tradition,Emile Beyer
France,"With a sense of structure and balance between honey and fruit, this is an attractive, food-friendly wine. It is off dry although the spice core gives a drier edge. Allow the wine a few more months in bottle; drink from late 2015.",86,25.0,Alsace,Alsace,Roger Voss,2013,23.0,Tradition,Emile Beyer
France,"A great partner for rich sauced fish or pâté, this beautiful wine is relatively sweet, full of gently honeyed fruit, naturally full-bodied. The acidity is a light addition to the weighty texture.",91,40.0,Alsace,Alsace,Roger Voss,2009,18.0,Pfersigberg Grand Cru,Wolfberger
France,"Such an elegant wine, with its attractive crisp apple skin and ripe pear juice flavors. It has a fine perfumed character, laced intensely with acidity. Drink now.",87,18.0,Alsace,Alsace,Roger Voss,2010,7.0,Signature,Wolfberger
France,"Fruity notions of apple juice and fresh apple peel are signalled on the nose. The palate follows more softly than expected and shows a balanced, textured dryness in this very clean, almost taut Riesling.",88,18.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Signature,Wolfberger
France,"There is a distinct hint of ripe, juicy peach flesh amidst all the pear aromas. The palate is less expressive but still full of friendly, appetizing and generous fruit. A seam of citric freshness again allows glimpses of that peach. Drink while these fruity aromas are out in force.",89,20.0,Alsace,Alsace,Anne Krebiehl MW,2014,18.0,Signature,Wolfberger
France,"Loaded with spice and lychee flavors, this is a rounded and rich wine. Not complex but attractive, it is ready to drink now.",84,18.0,Alsace,Alsace,Roger Voss,2013,23.0,Signature,Wolfberger
France,"A wine that is both creamy and has a tight, steely core. It will be fine with food, with its crisp apple acidity and a squeeze of lemon. Drink now.",87,15.0,Alsace,Alsace,Roger Voss,2013,38.0,Signature,Wolfberger
France,"Rounded wine, soft in character, its creamy texture given a boost by apple and lime flavors. An easy wine that is full in the mouth while still seeming light.",86,15.0,Alsace,Alsace,Roger Voss,2010,38.0,Signature,Wolfberger
France,"Spicy musky notes hover above scents of canned peaches. On the palate, these rich peach notes are framed by pleasantly bitter notes of pith and peach skin. The characteristic 2014 freshness makes this bright and sprightly and creates an off-dry finish to the concentrated palate.",91,35.0,Alsace,Alsace,Anne Krebiehl MW,2014,23.0,Pfersigberg Grand Cru,Domaine Charles Baur
France,"Lifted, fresh notes of peach on nose and palate somehow manage to pull off a wine of utter freshness that is soft, mellow and rounded at the same time. The peachy fruit pervades the entire palate which has just a smidgeon of residual sweetness and a helpful, balancing edge of pleasant bitterness.",91,38.0,Alsace,Alsace,Anne Krebiehl MW,2013,23.0,Pfersigberg Grand Cru,Domaine Charles Baur
France,"The chalk soil of Champagne makes a reappearance in the Pfersigberg vineyard. In this wine it shows as elegance and crispness. That's not to take away from the rich, rounded texture and exotic fruits; it adds complexity and great style. Drink from 2017.",92,30.0,Alsace,Alsace,Roger Voss,2012,23.0,Pfersigberg Grand Cru,Domaine Charles Baur
France,"This is a sweet, very perfumed wine with pleasant candy flavors. Rich rosewater and spice notes add complexity, and chalk soils lend a crisp edge that cuts into the opulent character of the wine. It could age, not for long, so drink until 2018.",90,28.0,Alsace,Alsace,Roger Voss,2011,23.0,Pfersigberg Grand Cru,Domaine Charles Baur
France,"A tender but perfumed hint of honeysuckle appears first on the nose, followed by rich peach hints. These notions persist on the palate where the peach and ripe yellow-plum notes are boosted by residual sweetness and countered by phenolic, slightly zesty but pleasant bitterness. You can feel the warmth on the medium-sweet finish. This is full on and rich, almost unctuous—perfect for blue cheeses.",93,35.0,Alsace,Alsace,Anne Krebiehl MW,2015,23.0,Pfersigberg Grand Cru,Domaine Charles Baur
France,"Rich aromas of juicy peach and Damask rose have the lovely and tempering edge of grapefruit zest. The palate gives us the same welcomed counterpoint of zesty aromatic freshness and perfumed opulence. This has lovely fluid freshness, couched in sumptuous flavors. This is exquisitely balanced and finishes just about still dry.",93,46.0,Alsace,Alsace,Anne Krebiehl MW,2014,23.0,Pfersigberg Grand Cru,Domaine Barmès-Buecher
France,"Pfersigberg, the hill of peach trees, is an apt name for this ripe wine. Yellow and tropical fruits show strongly along with spice, bergamot and concentration from the 50-year-old vines in the wine. The chalk soil gives a touch of minerality to the aftertaste that remains rich and full-bodied in style. Drink from 2017.",93,44.0,Alsace,Alsace,Roger Voss,2012,23.0,Pfersigberg Grand Cru,Domaine Barmès-Buecher
France,"A wonderfully tender hint of Damask rose swirls into the nose, followed by a smoky, grounding earthiness. The palate plays with that rose flavor and adds a touch of peach and tangy citrus zest. The palate stays on the off-dry site and focuses on zesty spice and a wonderfully textured phenolic edge. It masters a wonderful high-wire act between richness and zesty vigor. The wine is beautiful, full-flavored and exciting with a long just-off-dry finish. Drink 2017–2027.",94,38.0,Alsace,Alsace,Anne Krebiehl MW,2015,23.0,Pfersigberg Grand Cru,Domaine Barmès-Buecher
France,"Mellow sweetness on nose and palate suggests peach compote perfumed with rose water. The result is heady and sweet, oriental and opulent, yet not without charm. Aromatic echoes of honeysuckle and dried orange peel temper the riches pleasantly.",90,50.0,Alsace,Alsace,Anne Krebiehl MW,2011,23.0,Pfersigberg Grand Cru,Domaine Barmès-Buecher
France,"Tradition in Alsace means an entry-level bottling. This fruity wine is a good introduction to Gewurztraminer with its touch of spice, rounded texture and fresh acidity at the end. Drink now.",84,26.0,Alsace,Alsace,Roger Voss,2013,23.0,Tradition,Domaine Barmès-Buecher
France,"The nose is very quiet but the body emanates a generosity despite its lightness. There is red-cherry fruit and a certain ampleness on a slender, fresh body. Tannins are like barely-there linens. The finish is wonderfully clean.",89,30.0,Alsace,Alsace,Anne Krebiehl MW,2014,1.0,Réserve,Domaine Barmès-Buecher
France,"There is a hint of flinty reduction that still clings to the nose. Underneath that is shy crisp red-cherry fruit. The palate adds glimpses of lifted conifer aromas to that. There is lightness and a very fine structure, but also depth. This is very elegant and understated but all the more touching for that. The finish is totally refreshing and dry.",91,34.0,Alsace,Alsace,Anne Krebiehl MW,2015,1.0,Réserve,Domaine Barmès-Buecher
France,The closed nose leads onto a compact palate that mixed red cherry notes with sandalwood oak spice. This is elegant and evolves beautifully in the glass. It will sing with earthy mushroom dishes.,90,55.0,Alsace,Alsace,Anne Krebiehl MW,2013,1.0,Vieilles Vignes,Domaine Barmès-Buecher
France,Beautifully pure cherry notes are subdued on the nose and fight against the privations of the 2014 vintage. There is lip-smacking freshness and admirable concentration on the textured palate with its velvety folds. The finish is clean and dry. Drink now through 2019.,90,55.0,Alsace,Alsace,Anne Krebiehl MW,2014,1.0,Vieilles Vignes,Domaine Barmès-Buecher
US,"Hints of dusty mineral, nut and spice lend a savory tone to apple and pear in this cutting, crisp Riesling. It's honed and steely on the palate, finishing on a reverberating and bitter lime-zest note.",85,16.0,New York,Seneca Lake,Anna Lee C. Iijima,2013,7.0,Dry,Atwater
US,"Hints of smoke and wet stone combine with sweet Granny Smith apple and stonefruit aromas on the nose of this inviting dry Riesling. Smoke seeps through on the palate as well, melding with brighter flavors like orange peel and underripe tangerine, making for a refreshing yet deeply compelling sip.",87,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2008,7.0,Dry,Atwater
US,"Austere in style yet refreshing and quaffable, this dry wine is crisp with fresh green-apple flavor and a tart lemon-lime acidity that bristles the palate. It's delicate in frame, but nicely concentrated with a lingering mineral finish.",87,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,7.0,Dry,Atwater
US,"While certainly present, apple and stone fruit take a back seat to layers of flint and smoke on this uniquely savory, dry Riesling. Slightly viscous on the palate with a rich, minerally slick, there's a hint of sea salt on the finish making this wine the perfect accompaniment to oysters on the half shell.",87,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,7.0,Dry,Atwater
US,"Subtle lemon and apple on the nose belie the intense peachiness that awaits on the palate of this fruity dry Riesling. It's a shade rounder and richer on the palate than most Finger Lakes Rieslings from this vintage, but keenly balanced, finishing on a bracing lemon-lime note.",89,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2014,7.0,Dry,Atwater
US,"Slightly dusty, herbal notes distract from pleasant peach and strawberry flavors in this dry rosé made from Pinot Noir along with a splash of Chardonnay. It's delicate in concentration but refreshing on the palate.",86,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,9.0,Dry,Atwater
US,"Yeasty, sweet pastry notes are enticing on the nose of this intense, juicy, off-dry Riesling. It has a delicate structure and a creamy texture, and it balances brisk, lemony acids with ripe yellow-peach and grapefruit flavors.",87,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,7.0,Estate Vineyards,Atwater
US,"Hints of spice lend an exotic feel to aromas of freshly pressed apples on this Riesling. It's off dry in style with ripe, juicy white-grapefruit flavor accented with piercingly high acidity. Finishes briskly on a slightly bitter note.",85,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2011,7.0,Estate Vineyards,Atwater
US,"Subtle and crisp in profile, this not-quite-dry Riesling from Lakewood Vineyards is delicate in its soft, slightly underripe peach and apricot tones. Vibrant acidity and a clean, floral spray on the finish make it wonderfully refreshing.",87,13.0,New York,Finger Lakes,Anna Lee C. Iijima,2009,7.0,Dry,Lakewood
US,"A wish of smoke adds complexity and mystery to bright tangerine, white peach and floral notes on this dry-style Riesling. It's delicate in body, but vibrantly structured, with tart lemon-lime acidity that pierces through ripe stone-fruit flavors on the palate.",87,13.0,New York,Finger Lakes,Anna Lee C. Iijima,2011,7.0,Dry,Lakewood
US,"Dark and smoky with notes of struck flint and crushed minerals, this wonderfully complex Riesling is unctuous on the palate with dried peach and mango flavors that shine. Quite dry yet lusciously textured with hints of lanolin and mineral oil.",88,13.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,7.0,Dry,Lakewood
US,"A dry-style Riesling with fresh apple, pear and petrol aromas, and a persistent minerality throughout. It's simple and straightforward, but there's a refreshing lemonade acidity and a hint of lime zest at the finish.",86,13.0,New York,Finger Lakes,Anna Lee C. Iijima,2008,7.0,Dry,Lakewood
US,"From nose to finish, there's a distinctly floral tone to this vibrant, delicately framed Riesling. Dry in style, it offsets fresh, cutting grapefruit and tangerine flavors against perfumed notes of potpourri and talcum powder. Drink now through 2019.",88,14.0,New York,Finger Lakes,Anna Lee C. Iijima,2014,7.0,Dry,Lakewood
US,"Notes of fresh cherry and raspberry are peppered with hints of tomato leaf and bramble on this savory wine. It's full bodied on the palate, but touches of cranberry give it a brisk, refreshing feel. It finishes with soft, yet slightly astringent tannins.",85,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,1.0,Reserve,Lakewood
US,"With its high abv, this monster Cabernet Franc is quite an anomaly in the Finger Lakes. It's intensely aromatic with notes of black cherry and berries accented with bramble and forest floor. The palate packs a punch with big, concentrated black plum flavors layered in spicy oak and tannins. It's brawny and bold and sure to get attention on the dinner table.",87,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2011,19.0,Reserve,Lakewood
US,"At 15.9% abv, this is a monster by Finger Lakes standards, but it's unsurprising perhaps for such a hot vintage. A tad jammy on the palate, it's sweet with red cherry fruit that's framed by herbaceous green notes and layers of soft, furry tannins.",86,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,19.0,Reserve,Lakewood
US,"Heady floral perfume, tropical fruit and delicate red berry notes burst from the glass. Dry in style, it's a light-footed sip with bracing grapefruit acidity and a concentrated, primary palate. Enjoy soon to maximize all its youthful exuberance.",88,20.0,New York,Finger Lakes,Anna Lee C. Iijima,2016,7.0,Dry,McGregor
US,"Dusty mineral notes lend an earthy tone to this light-bodied, dry Riesling. On the palate, flavors of savory pressed apples are accented a bristling lemon-zest astringency. Finishes briskly.",83,20.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,7.0,Dry,McGregor
US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",85,20.0,New York,Finger Lakes,Susan Kostrzewa,2007,23.0,Dry,McGregor
US,"Sunny, peachy sweetness abounds in this light-footed Riesling. Off dry in style, it's breathlessly fresh and fruity, yet intensified by shimmering lime and mineral tones. Drink now for its youthful effervescence.",88,18.0,New York,Finger Lakes,Anna Lee C. Iijima,2014,7.0,Semi Dry,McGregor
US,"Penetrating white grapefruit, lemon and lime collide in this revitalizing citrus crush. It's harmoniously sweet yet balanced by fresh acidity and a feather-light briskness on the palate.",87,18.0,New York,Finger Lakes,Anna Lee C. Iijima,2016,7.0,Semi Dry,McGregor
US,"This wine highlights heady new-oak tones of spice, vanilla and cedar, yet maintains elegance from nose to finish. Ripe black cherry and plum flavors penetrate on the palate, with a framing of soft tannins and bright cranberry acidity. The finish is long and a touch mineral.",90,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,1.0,Reserve,McGregor
US,"Moss and wood notes mingle with violet and lavender perfume on this elegant, subtly nuanced Pinot Noir. Ripe, rich black-cherry and berry flavors are offset by a brisk acidity and a penetrating mineral backbone. It's lovely now, but structured enough, and still boldly tannic, to merit further cellar aging. Drink from 2020–2025.",91,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2011,1.0,Reserve,McGregor
US,"Scents of fresh red cherries and bramble wood entice on the nose of this aromatic, spice-toned Cabernet Sauvignon. The palate, while crisp with cranberry acidity, is a bit subdued with subtle red-fruit flavor and a finish that wraps up short and tight.",84,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,4.0,Reserve,McGregor
US,"Complexity abounds on this spicy cedar-toned Cabernet Sauvignon. Ripe red-plum and cherry flavors are juicy and plush yet balanced briskly by sharp edges of acidity and graphite. It's intensely earthy, studded with notes of bramble and autumn leaf. Fine feathery tannins lead a long lingering finish.",91,30.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,4.0,Reserve,McGregor
US,"Slightly muted tones of black cherry and plum preserves are accented by wet soil, mushroom and coconut in this rustic yet elegant Cabernet Franc. Ripe fruit is contrasted by vibrant acidity, rigid tannins and a pleasant bite of astringency that persists through the finish. Drink now through 2022.",88,25.0,New York,Finger Lakes,Anna Lee C. Iijima,2013,19.0,Reserve,McGregor
US,"Whiffs of sour Asian plums and briar patch add complexity to the fleshy cherry aromas of this composed, full-bodied wine. Brisk acidity and hints of spice, wet earth and soy sauce lend a sweet and savory tone to it's black-cherry-flavored finish.",87,25.0,New York,Finger Lakes,Anna Lee C. Iijima,2007,19.0,Reserve,McGregor
US,"Warm spice and oak tones accent fresh apples and lemons on this full-bodied Chardonnay. It's not subtle with a dense slick of caramel that extends along the midpalate, but a kick of lemon-lime acidity on the finish adds some levity.",86,25.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,2.0,Reserve,McGregor
US,"Smoky and a bit stark with whiffs of struck flint and stone. This off-dry Riesling is piercing on the palate with nervy lime-juice and lime-skin flavors. The finish is medium long, ending on a softly floral, crushed-stone note.",86,18.0,New York,Finger Lakes,Anna Lee C. Iijima,2010,7.0,Semi-Dry,McGregor
US,"Ripe peach and floral aromas waft from this sprightly off-dry Riesling. A hint of pressed apple lends a savory feel to the mid palate, but it finishes briskly with a squirt of lemon and lime.",85,18.0,New York,Finger Lakes,Anna Lee C. Iijima,2012,7.0,Semi-Dry,McGregor
US,"Fresh yellow peach, apricot and melon aromas are bolstered by swathes of white blossom on this deeply fruity, floral wine. The palate is delicately sweet, succulent and sunny, offering generous layers of tropical mango and pineapple flavors. It's straightforward fruitiness with a lip smacking honey finish.",89,18.0,New York,Finger Lakes,Anna Lee C. Iijima,2015,7.0,Semi-Dry,McGregor
US,Fresh raspberry and peach perfume collide into a zesty crush of minerality on the nose and palate of this invigorating dry rosé. It's feather light on the palate but zippy and bright in acidity. The finish is marked by a lingering but delicate bite of astringency. A rosé worth seeking out far beyond the summer months.,89,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2015,19.0,Rosé of,McGregor
US,"Touches of cinnamon and spice accent crisp red apples in this dry, medium-bodied rosé. The palate is tart but refreshingly brisk on the finish.",84,15.0,New York,Finger Lakes,Anna Lee C. Iijima,2014,19.0,Rosé of,McGregor
US,"While the nose is quite bold, boasting concentrated notes of strawberry leather and caramel, the palate on this delicately framed rosé is demure. It's a bit light in concentration with soft acidity, but an easygoing quaffer for early consumption.",86,16.0,New York,Finger Lakes,Anna Lee C. Iijima,2015,9.0,Pinot Noir,McGregor
US,"This is a gorgeously perfumed Riesling, chock-full of white flowers and ripe, juicy stonefruit, but not at all cloying. Dry on the palate, it exhibits elegant peach and apricot flavors that lead to a long, lingering finish marked by lime peel and a hint of chalk.",87,13.0,New York,Finger Lakes,Anna Lee C. Iijima,2008,7.0,Dry,Wagner
US,"Pretty white blossom and fresh apple notes are cast in a veil of crushed minerals in this deft, delicate Riesling. Lacy sweetness and sunny tangerine acidity brighten the midpalate. This is a lovely off-dry wine that's delicious now for it's fresh, fragrant youth.",88,15.0,New York,Finger Lakes,Anna Lee C. Iijima,2013,7.0,Dry,Wagner
